Variable,Site
H,A4261039
SAL,A4261039
TEMP,A4261039
TRACE_1,No Site
WQ_TRC_AGE,No Site
WQ_NCS_SS1,EPA2014_Coorong_Murray_Mouth
WQ_OXY_OXY,EPA2014_Coorong_Boundary_Creek_1
WQ_SIL_RSI,EPA2014_Coorong_Murray_Mouth
WQ_NIT_AMM,EPA2014_Coorong_Murray_Mouth
WQ_NIT_NIT,EPA2014_Coorong_Murray_Mouth
WQ_PHS_FRP,EPA2014_Coorong_Murray_Mouth
WQ_PHS_FRP_ADS,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOC,EPA2014_Lake_Alexandrina_Clayton_east_of_regulator
WQ_OGM_POC,EPA2014_Lake_Alexandrina_Clayton_east_of_regulator
WQ_OGM_DON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_PON,EPA2014_Coorong_Murray_Mouth
WQ_OGM_DOP,EPA2014_Coorong_Murray_Mouth
WQ_OGM_POP,EPA2014_Coorong_Murray_Mouth
WQ_PHY_GRN,EPA2014_Coorong_Murray_Mouth
