Date,Total
01-Jan-2013,
01-Feb-2013,
01-Mar-2013,
01-Apr-2013,
01-May-2013,
01-Jun-2013,
01-Jul-2013,62882.6195
01-Aug-2013,260602.8217
01-Sep-2013,264763.5539
01-Oct-2013,358267.5831
01-Nov-2013,61940.5537
01-Dec-2013,70451.7631
01-Jan-2014,23582.4824
01-Feb-2014, 7321.1249
01-Mar-2014,15176.3600
01-Apr-2014,60459.0947
01-May-2014,65197.8565
01-Jun-2014,42029.4801
01-Jul-2014,133885.2491
01-Aug-2014,353126.1942
01-Sep-2014,64619.0100
01-Oct-2014,52548.5728
01-Nov-2014,54918.9204
01-Dec-2014,46397.8274
01-Jan-2015,42932.2468
01-Feb-2015,50751.2473
01-Mar-2015,56114.0095
01-Apr-2015,57499.5674
01-May-2015,51322.6801
01-Jun-2015,22420.5665
01-Jul-2015,131793.8301
01-Aug-2015,105137.5621
01-Sep-2015,111041.7151
01-Oct-2015,70185.8660
01-Nov-2015,55049.7165
01-Dec-2015, 1536.0082
01-Jan-2016,  389.7713
01-Feb-2016,17000.8178
01-Mar-2016,50044.3844
01-Apr-2016,13702.8726
01-May-2016, 5453.1953
01-Jun-2016,  742.6245
01-Jul-2016,217869.7461
01-Aug-2016,572764.9979
01-Sep-2016,873304.9049
01-Oct-2016,1285358.0376
01-Nov-2016,1171240.1137
01-Dec-2016,1489385.7672
01-Jan-2017,466263.6647
01-Feb-2017,100555.8487
01-Mar-2017,135397.4353
01-Apr-2017, 4262.6153
01-May-2017,
01-Jun-2017,
01-Jul-2017,
01-Aug-2017,
01-Sep-2017,
01-Oct-2017,
01-Nov-2017,
01-Dec-2017,
