Site,Title,Start Date,End Date
A2391077,Lake George Big Lake ,19/10/2009,04/09/2013
A2391101,TARATAP WATERCOURSE AT CHRIS ENGLANDS WETLAND ,10/11/2008,23/07/2009
A2391103,Bakers Range Watercourse at Brooklyn Pluvio ,11/12/2008,13/11/2016
A4260603,Coorong Wind Recorder at Pelican Point AWS ,19/09/1998,13/11/2016
A4260633,Coorong at Parnka Point ,21/10/1998,06/06/2005
A4261110,River Murray downstream Morgan (AMTD 316.5km) ,08/05/2009,13/11/2016
A4261123,Goolwa Channel at Signal Point (Beacon 23) ,10/12/2008,13/11/2016
A4261124,Goolwa Channel 2km West Clayton (Starboard Beacon 65) ,21/11/2008,13/11/2016
A4261133,Lake Alexandrina at Beacon 97 (Offshore Raukkan) ,04/09/2008,04/08/2014
A4261153,Lake Albert Near Causeway at Waltowa Swamp ,15/05/2008,08/07/2015
A4261155,Lake Albert 2km North Warringee Point ,16/12/2008,07/08/2014
A4261158,Lake Alexandrina 4km West Pomanda Point ,25/02/2009,08/03/2012
A4261159,River Murray 2km downstream Wellington Ferry ,17/02/2009,20/01/2015
A4261161,River Murray adjacent Mannum Town Wharf ,09/01/2009,19/02/2015
A4261162,River Murray at Murray Bridge (Long Island) ,06/01/2009,24/10/2013
A4261164,River Murray 3km downstream Swan Reach Ferry ,08/01/2009,23/07/2015
A4261167,Chowilla Automatic Weather Station ,11/02/2014,13/11/2016
A4261221,Lake Victoria Automatic Weather Station ,28/07/2010,13/11/2016
A5040563,Millbrook Reservoir Automatic Weather Station ,24/07/1991,01/06/1995
