Old Name,New name,X,Y
EPA -  Goolwa Barrage (upstream),Lake_Alexandrina_Goolwa_Barrage_Upstream,301314,6066341
EPA -  Jockwar Road,Coorong_Jockwar_Road,351368,6083419
EPA -  Tauwitcherie,Coorong_Tauwitchere_Barrage,320218,6059692
EPA - Boggy Lake 31,Lake_Alexandrina_Boggy_Lake_31,334107,6089738
EPA - Boggy Lake 8,Lake_Alexandrina_Boggy_Lake_8,336492,6090909
EPA - Bonneys,Coorong_Bonneys,347969,6037304
EPA - Clayton 3A,Clayton_3A,311417,6069731
EPA - Coorong Monument Road,Coorong_Goolwa_Channel_Monument_Rd,302097,6066373
EPA - Currency 1,Currency_Creek_Currency_1,301314,6073082
EPA - Currency 2,Currency_Creek_Currency_2,301809,6071434
EPA - Currency 3,Currency_Creek_Currency_3,302660,6069803
EPA - Ewe Island Barrage,Lake_Alexandrina_Ewe_Island_Barrage_site_1,315939,6062365
EPA - Finniss 1,Finniss_River_Finniss_1,306660,6076270
EPA - Finniss 2,Finniss_River_Finniss_2,308064,6073399
EPA - Finniss 3,Finniss_River_Finniss_3,309297,6070539
EPA - Goolwa Beach 1,Murray_Mouth_Goolwa_Beach_1,296431,6067089
EPA - Goolwa Beach 2,Murray_Mouth_Goolwa_Beach_2,301216,6065622
EPA - Goolwa Beach 3,Murray_Mouth_Goolwa_Beach_3,306808,6063288
EPA - Goolwa Bridge,Goolwa_Bridge,0,0
EPA - Lake Albert : Meningie,Meningie,349381,6050440
EPA - Lake Albert : Opening,Lake_Albert_Opening,344391,6063658
EPA - Lake Alexandrina Middle,Lake_Alexandrina_Middle,333094,6077943
EPA - Lake Alexandrina Milang,Milang,316285,6079754
EPA - Lake Alexandrina Opening,Lake_Alexandrina_Opening,348601,6079701
EPA - Lake Alexandrina Poltalloch,Poltalloch,338099,6074142
EPA - Lake Alexandrina Top,Lake_Alexandrina_Top,339372,6087104
EPA - Lake Alexandrina Wellington,Lake_Alexandrina_Wellington,352803,6091052
EPA - Lake Alexandrina: Clayton (east of regulator),Lake_Alexandrina_Clayton_east_of_regulator,311714,6069474
EPA - Lake Alexandrina: Off Point McLeay,Lake_Alexandrina_Off_Point_McLeay,324305,6067057
EPA - Long Point,Coorong_Long_Point,333756,6048257
EPA - Loveday Bay 1,Loveday_Bay,325894,6061508
EPA - Mark Point,Coorong_Mark_Point,325762,6054914
EPA - Mundoo Channel 2,Coorong_Mundoo_Channel,312516,6065450
EPA - Murray Mouth,Coorong_Murray_Mouth,308015,6063155
EPA - Narrung Narrows 8,Lake_Albert_Narrows_8,336596,6067746
EPA - Nth Jack Point,Morella_Basin_North_Jack_Point,369342,6010970
EPA - Sth Salt Creek,Morella_Basin_South_Salt_Creek,377597,6000430
EPA - Villa de Yumpa,Coorong_Villa_de_Yumpa,359175,6022894
EPA Marine,EPA_Marine,0,0
EPA- Lake Albert - Middle,Albert_Middle,0,0
Lake Albert - South West,Lake_Albert_South_West,341650,6050496
Lake Albert - Water Level Recorder,Lake_Albert_Water_Level_Recorder,349307,6058801
Lake Albert Meningie,Meningie,349381,6050440
Lake Alexandra Raukkan Jetty,Raukkan,0,0
Lake Alexandrina Goolwa Barrage US,Lake_Alexandrina_Goolwa_Barrage_Upstream,301314,6066341
Lake Alexandrina Milang,Milang,316285,6079754
Lake Alexandrina Poltalloch Plains,Poltalloch,338099,6074142
Lake Alexandrina at Beacon 90,Lake_Alexandrina_Beacon_90,331095,6071418
Lake Alexandrina at Poltalloch Plains Recorder A,Poltalloch_Recorder_A,338099,6074142
