Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2019 10:03:00,26/05/2020 10:52:00,90.000
WQ_OGM_DOC,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_OXY_OXY,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_PHS_FRP,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_DIAG_TOT_TP,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_SIL_RSI,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_DIAG_TOT_TKN,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
TEMP,02/01/2019 10:03:00,26/05/2020 10:52:00,85.000
WQ_DIAG_TOT_TDS,02/01/2019 10:03:00,26/05/2020 10:52:00,90.000
WQ_DIAG_TOT_TURBIDITY,02/01/2019 10:03:00,26/05/2020 10:52:00,73.000
WQ_CAR_PH,02/01/2019 10:03:00,26/05/2020 10:52:00,90.000
